hgnc_symbol,Ep26.JAK1.E139K.1,Ep26.JAK1.E139K.2,Ep26.JAK1.E139K.3,Ep26.JAK1.S703I.1,Ep26.JAK1.S703I.2,Ep26.JAK1.S703I.3,Ep26.JAK1.WT.1,Ep26.JAK1.WT.2,Exp21.JAK1.E139K.1,Exp21.JAK1.E139K.2,Exp21.JAK1.E139K.3,Exp21.JAK1.S703I.1,Exp21.JAK1.S703I.2,Exp21.JAK1.S703I.3,Exp21.JAK1.WT.1,Exp21.JAK1.WT.2,Exp21.JAK1.WT.3,Exp25.JAK1.E139K.1,Exp25.JAK1.E139K.2,Exp25.JAK1.E139K.3,Exp25.JAK1.S703I.1,Exp25.JAK1.S703I.2,Exp25.JAK1.S703I.3,Exp25.JAK1.WT.1,Exp25.JAK1.WT.2,Exp25.JAK1.WT.3
46,ARF5,5.76577340842289,5.78692158623161,5.86067873095749,5.82694245503312,5.81156648481671,5.90406701508655,5.90722277367115,5.82851014892208,5.86073402060633,5.79746505706435,5.95026430519598,5.78539523580916,5.88002073269133,6.04671217825617,5.90356591782935,6.00321434840174,5.8969203286551,6.42417220642471,6.52446163168071,6.4795733027519,6.32981958105231,6.50826599039993,6.45589134065077,6.38039226563655,6.42242766020115,6.35761799940493
47,SARM1,4.61725990774196,4.63914310893113,4.62589746972634,4.53688275277338,4.63530432030986,4.58698274274107,4.55177686186798,4.43907674241234,3.50695871851721,3.3806648795716,3.88919559929113,3.50110187427077,3.60717117838391,3.28333238246274,4.13770931018573,3.8099774999757,4.17900093770216,2.83964940705887,3.473212969418,3.08916215742546,3.18102217258709,3.65622477914977,3.1143467549626,3.4179042820959,3.05658639411941,3.24361982600139
48,POLDIP2,7.49380753939938,7.41826570356293,7.40118822546325,7.34162224301636,7.40268841244358,7.44249205394139,7.41653412830932,7.43011965702229,7.06524489272977,7.26723421742851,7.10871264332036,7.20938264520741,7.29495329526012,7.2610314448509,7.24627796471551,7.2745218988751,7.31439808944543,7.31441047100512,7.38173878655378,7.28249962497712,7.26526938070633,7.40577988788485,7.33823294673598,7.19714713454477,7.2800958315487,7.09506265018421
49,PLXND1,7.81538365353139,7.84634492867591,7.75089124377867,7.79617370927653,7.71458030024554,7.67597176713369,7.81802983469075,7.75577142182167,7.89240727975056,7.9955344610915,7.85556900032223,8.03425859382084,7.68303501950123,7.95467560315147,8.06229050993823,8.08178928420316,8.01615423824241,7.92156243526518,7.78273110865341,7.84340157343342,7.737843798019,7.73798541155496,7.64967555076273,7.708580789575,7.73539830554533,7.73757964537177
50,AK2,7.4352398724628,7.57549539771877,7.49111483488955,7.52141863484265,7.42403060631573,7.53972557628516,7.44093273667841,7.48635903804919,7.45336149880187,7.45241510038168,7.43844059069796,7.41065072663249,7.553493948247,7.63294395105621,7.51660481144888,7.56945647506524,7.6115580600131,7.66762042730044,7.76941604693634,7.85319972168241,7.7582097584631,7.84149153435022,7.7927812442383,7.76026200321635,7.82026052334403,7.75456492586744
52,FKBP4,7.24749438768927,7.28816521051916,7.3400467980787,7.28478711287264,7.22949632878518,7.30828778419642,7.2158370930426,7.24513402790781,7.21462284153541,7.26784300825183,7.303009996996,7.3278631842072,7.39232384609879,7.38997801983943,7.35646195168569,7.38775394778063,7.3169178933461,7.30603247867568,7.18975746202234,7.17429420802952,7.29857721992877,7.2233148194788,7.3361339884404,7.21591073222004,7.24222656990623,7.26619396408917
53,KDM1A,7.76529052380684,7.73019627879586,7.64096952814016,7.73744221957803,7.71101050180039,7.77830444316368,7.61675103461221,7.68888924659065,7.88604743841642,7.88052706615954,7.9297325102485,7.97044639929095,7.9502521729703,7.81783910576173,7.91471660518591,7.85816846481794,7.88974178165059,8.09855927667037,8.19163309483894,8.14808795517088,8.15125376082107,8.14966150254716,8.15776641464475,8.19373272308883,8.24855565657805,8.15788408155768
54,RBM6,7.01018469814512,6.97655907890565,6.85269900607287,6.96617187734308,6.83453931470422,6.82184585077608,6.96231158028059,6.89086322281327,7.06196926473478,6.81355689691796,7.15121363459056,6.89513112628859,7.01589677086741,6.85247231395762,6.9432541753605,6.89950129362058,6.89284715307587,6.53576104154128,6.54298055895266,6.51174923505726,6.61553227151663,6.41749533611826,6.48661262188816,6.48944223702368,6.62314434423308,6.58806344334468
55,CAMKK1,4.23155626346033,4.37521930137673,4.31322323721308,4.30852859511852,4.29279369668212,4.28705704158285,4.36651925216296,4.45885975965443,4.59451027612278,4.64212374305441,4.75661120559299,4.47700228513345,4.51113028398513,4.59463464145902,4.62521849642045,4.7283967166983,4.45843246312436,4.58762686951393,4.65926582795616,4.57740788264943,4.77957945920768,4.5448290989278,4.59364040653468,4.62600306210498,4.71312481111704,4.63557750306574
56,RECQL,6.78081074953974,6.88464645571538,6.80196812211076,6.90372050304307,6.90014190659013,7.07939372344801,6.88305359924135,6.99804685846911,6.90767243680164,6.94397717353363,7.16500065243787,7.1555671313885,7.23130053767336,7.11467531764666,6.87024441889657,6.86918639444887,6.86175350842695,7.20973560118974,7.25166438310804,7.27181680938214,7.23717627304235,7.27245249729876,7.03332472606443,7.31603842393538,7.40800290484377,7.31037686062044
