# File Name: /Volumes/USB DISK/qPCR/Exp9_4.2.2024_u4cs_20240402_122421.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block serial number: 2778323082972
# Run Start Date/Time: 2024-04-02 12:24:47 PM EDT
# Run End Data/Time: 2024-04-02 01:57:50 PM EDT
# Run Duration: 93 minutes 3 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-04-02 04:54:27 PM EDT
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Relative Quantification v1.6.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-04-02 04:55:30 PM EDT
"Well","Well Position","Stage Number","Step Number","Cycle Number","VIC","FAM","ROX"
"7","A7","2","2","4","192022.73","571186.3","295501.3"
"7","A7","2","2","5","192501.33","572646.2","295465.4"
"7","A7","2","2","6","193285.9","574445.3","296102.84"
"7","A7","2","2","7","194568.86","576534.06","296998.12"
"7","A7","2","2","8","195574.9","577528.0","297498.53"
"7","A7","2","2","9","196157.77","578566.44","297770.06"
"7","A7","2","2","10","197077.97","579411.25","297865.47"
"7","A7","2","2","11","198047.58","581356.44","298284.78"
"7","A7","2","2","12","199034.7","582996.8","298666.66"
"7","A7","2","2","13","200182.89","584035.75","299366.75"
"7","A7","2","2","14","202264.81","584792.44","299852.9"
"7","A7","2","2","15","205401.14","585907.44","299847.12"
"7","A7","2","2","16","210351.95","587105.44","299812.22"
"7","A7","2","2","17","218703.45","587235.56","300163.84"
"7","A7","2","2","18","233140.5","587453.6","300679.12"
"7","A7","2","2","19","254799.17","589863.9","301742.44"
"7","A7","2","2","20","284250.6","590406.5","302907.75"
"7","A7","2","2","21","318709.56","591154.56","304037.16"
"7","A7","2","2","22","355664.38","593590.94","305373.5"
"7","A7","2","2","23","390960.6","595771.56","306882.8"
"7","A7","2","2","24","423375.94","597045.25","308349.4"
"7","A7","2","2","25","450050.9","598712.06","309689.88"
"7","A7","2","2","26","471007.22","600418.2","310218.16"
"7","A7","2","2","27","486301.3","603731.6","311036.0"
"7","A7","2","2","28","497819.16","609210.5","311277.75"
"7","A7","2","2","29","505463.8","618706.75","311448.03"
"7","A7","2","2","30","511416.75","636491.44","311565.25"
"7","A7","2","2","31","514912.12","667113.06","311919.6"
"7","A7","2","2","32","517594.53","719373.1","312114.06"
"7","A7","2","2","33","519276.75","797838.0","312113.5"
"7","A7","2","2","34","521420.75","904999.5","312249.8"
"7","A7","2","2","35","523078.78","1037022.75","312571.88"
"7","A7","2","2","36","524323.25","1187793.2","313124.5"
"7","A7","2","2","37","524329.6","1346906.9","313568.5"
"7","A7","2","2","38","526607.8","1503913.5","313591.34"
"7","A7","2","2","39","527130.94","1653539.5","313432.5"
"7","A7","2","2","40","526711.25","1778233.0","313068.38"
"8","A8","2","2","1","166198.92","495697.7","250595.19"
"8","A8","2","2","2","166501.2","497064.8","251241.05"
"8","A8","2","2","3","167635.7","500177.16","252321.27"
"8","A8","2","2","4","169615.56","507067.94","254615.38"
"8","A8","2","2","5","172830.3","515705.5","257996.19"
"8","A8","2","2","6","175947.31","523702.12","262147.34"
"8","A8","2","2","7","178770.94","531665.2","266135.9"
"8","A8","2","2","8","181869.92","540388.4","269865.88"
"8","A8","2","2","9","184917.7","548930.25","273671.5"
"8","A8","2","2","10","188329.11","557343.3","277746.7"
"8","A8","2","2","11","191326.62","564098.8","281659.03"
"8","A8","2","2","12","194324.92","572118.75","285001.84"
"8","A8","2","2","13","197992.83","579683.0","288617.62"
"8","A8","2","2","14","201884.17","587865.94","291989.38"
"8","A8","2","2","15","206844.1","595066.7","295323.3"
"8","A8","2","2","16","214072.62","601424.25","298690.88"
"8","A8","2","2","17","224742.66","605536.56","301749.97"
"8","A8","2","2","18","239728.84","609672.0","304352.7"
"8","A8","2","2","19","262307.84","611604.06","306625.16"
"8","A8","2","2","20","291964.4","613827.0","308199.88"
"8","A8","2","2","21","327178.66","615569.3","309969.9"
"8","A8","2","2","22","363766.28","617638.75","311118.3"
"8","A8","2","2","23","398829.53","617308.1","311677.56"
"8","A8","2","2","24","430689.7","617270.56","312168.4"
"8","A8","2","2","25","457561.4","617198.5","312436.47"
"8","A8","2","2","26","478786.88","619003.06","312357.8"
"8","A8","2","2","27","494546.97","620764.3","312770.25"
"8","A8","2","2","28","505268.22","626056.56","313019.88"
"8","A8","2","2","29","512649.7","635107.3","313551.03"
"8","A8","2","2","30","519004.2","649242.7","313638.12"
"8","A8","2","2","31","524234.94","677710.4","313416.22"
"8","A8","2","2","32","526714.56","723289.75","313174.6"
"8","A8","2","2","33","528332.25","793331.1","312994.12"
"8","A8","2","2","34","531298.25","892304.9","313105.97"
"8","A8","2","2","35","531695.8","1015971.75","313116.94"
"8","A8","2","2","36","530793.0","1159327.6","312897.88"
"8","A8","2","2","37","531954.44","1314162.6","312603.78"
"8","A8","2","2","38","533596.6","1469445.8","312759.03"
"8","A8","2","2","39","532956.0","1625394.5","312549.9"
"8","A8","2","2","40","533112.2","1751387.9","312504.4"
"9","A9","2","2","1","194192.06","575922.7","294521.3"
"9","A9","2","2","2","194905.75","577816.7","295639.0"
"9","A9","2","2","3","196245.77","579418.25","296226.7"
"9","A9","2","2","4","196610.02","580298.8","296689.53"
"9","A9","2","2","5","197321.55","580895.8","296814.5"
"9","A9","2","2","6","197915.98","582116.25","296717.06"
"9","A9","2","2","7","198275.9","582376.5","296899.38"
"9","A9","2","2","8","198968.81","583220.94","296946.4"
"9","A9","2","2","9","199621.5","584233.4","296862.9"
"9","A9","2","2","10","200234.19","586523.94","297154.4"
"9","A9","2","2","11","201299.97","588375.8","298066.47"
"9","A9","2","2","12","202156.05","588958.25","298233.47"
"9","A9","2","2","13","203305.38","590775.7","298383.2"
"9","A9","2","2","14","205470.1","590965.0","298401.3"
"9","A9","2","2","15","208714.19","591305.2","298842.8"
"9","A9","2","2","16","213974.1","592062.75","299011.44"
