# File Name: /Volumes/USB DISK/qPCR/Exp9_real_4.4.24_20240404_122458.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block serial number: 2778323082972
# Run Start Date/Time: 2024-04-04 12:25:13 PM EDT
# Run End Data/Time: 2024-04-04 01:58:19 PM EDT
# Run Duration: 93 minutes 5 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-04-04 02:16:35 PM EDT
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Relative Quantification v1.6.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-04-04 02:17:02 PM EDT
"Well","Well Position","Stage Number","Step Number","Cycle Number","VIC","FAM","ROX"
"5","A5","2","2","22","770266.7","1324543.9","549993.75"
"5","A5","2","2","23","813020.06","1325630.4","550235.2"
"5","A5","2","2","24","845320.06","1325677.0","550865.2"
"5","A5","2","2","25","869235.4","1329469.0","551342.6"
"5","A5","2","2","26","885106.44","1334082.8","550947.44"
"5","A5","2","2","27","896128.0","1337515.2","551133.6"
"5","A5","2","2","28","904589.25","1344535.4","551969.9"
"5","A5","2","2","29","909715.94","1361595.0","552077.25"
"5","A5","2","2","30","914169.5","1389220.0","551800.1"
"5","A5","2","2","31","917904.8","1445559.1","551328.06"
"5","A5","2","2","32","919098.2","1549139.9","551453.25"
"5","A5","2","2","33","918630.75","1727765.2","551139.25"
"5","A5","2","2","34","919656.9","1988958.8","551390.2"
"5","A5","2","2","35","920924.06","2308214.8","550884.7"
"5","A5","2","2","36","921466.1","2648730.2","550044.5"
"5","A5","2","2","37","919924.8","2971104.8","549115.2"
"5","A5","2","2","38","920364.1","3262065.8","548489.06"
"5","A5","2","2","39","919578.0","3518625.5","548460.8"
"5","A5","2","2","40","919142.2","3716255.8","547989.2"
"6","A6","2","2","1","297781.8","1074057.5","444376.5"
"6","A6","2","2","2","298620.06","1075486.4","445472.47"
"6","A6","2","2","3","299727.5","1078445.1","445708.1"
"6","A6","2","2","4","300167.25","1081318.8","445007.47"
"6","A6","2","2","5","300744.38","1082573.9","444999.38"
"6","A6","2","2","6","301240.0","1083240.8","445947.16"
"6","A6","2","2","7","301791.66","1085717.8","445774.38"
"6","A6","2","2","8","302911.66","1086382.6","445613.7"
"6","A6","2","2","9","303876.3","1088167.4","445724.66"
"6","A6","2","2","10","305629.66","1090556.4","445038.7"
"6","A6","2","2","11","307719.72","1091704.8","444469.8"
"6","A6","2","2","12","311528.34","1093307.5","443830.53"
"6","A6","2","2","13","317975.8","1094108.8","443902.62"
"6","A6","2","2","14","328865.9","1094621.6","445008.9"
"6","A6","2","2","15","347272.97","1096311.9","445176.12"
"6","A6","2","2","16","377718.12","1098054.4","445156.2"
"6","A6","2","2","17","419389.06","1097683.0","445383.03"
"6","A6","2","2","18","469773.4","1097637.9","446919.4"
"6","A6","2","2","19","522467.8","1099947.0","448251.06"
"6","A6","2","2","20","572191.4","1101747.5","449389.78"
"6","A6","2","2","21","616381.6","1103425.4","449723.38"
"6","A6","2","2","22","651042.2","1104147.6","451011.66"
