Well,Well Position,Sample Name,Target Name,Task,Reporter,Quencher,Amp Status,CT,Cq Mean,Cq Confidence,Cq SD,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Omit
130,F10,ISG15 ++,ND2,UNKNOWN,FAM,NFQ-MGB,Amp,21.60374665,21.53960817,0.979969787,0.090705506,TRUE,0.361380385,TRUE,3,16,,,,,FALSE
131,F11,ISG15 ++,ND2,UNKNOWN,FAM,NFQ-MGB,Amp,21.47546969,21.53960817,0.971716102,0.090705506,TRUE,0.361380385,TRUE,3,16,,,,,FALSE
132,F12,,,,,,,,,,,,,,,,,,,,
133,F13,,,,,,,,,,,,,,,,,,,,
134,F14,,,,,,,,,,,,,,,,,,,,
135,F15,,,,,,,,,,,,,,,,,,,,
136,F16,,,,,,,,,,,,,,,,,,,,
137,F17,,,,,,,,,,,,,,,,,,,,
138,F18,,,,,,,,,,,,,,,,,,,,
139,F19,,,,,,,,,,,,,,,,,,,,
140,F20,,,,,,,,,,,,,,,,,,,,
141,F21,,,,,,,,,,,,,,,,,,,,
142,F22,,,,,,,,,,,,,,,,,,,,
143,F23,,,,,,,,,,,,,,,,,,,,
144,F24,,,,,,,,,,,,,,,,,,,,
145,G1,ISG15,ACTIN,UNKNOWN,FAM,NFQ-MGB,Amp,24.95444308,24.77967797,0.981202494,0.247155183,TRUE,0.353398052,TRUE,3,19,,,,,FALSE
146,G2,ISG15,ACTIN,UNKNOWN,FAM,NFQ-MGB,Amp,24.60491287,24.77967797,0.975037208,0.247155183,TRUE,0.353398052,TRUE,3,18,,,,,FALSE
147,G3,,,,,,,,,,,,,,,,,,,,
148,G4,ISG15 IFN,ACTIN,UNKNOWN,FAM,NFQ-MGB,Amp,24.76959824,24.75784244,0.978496126,0.016625202,TRUE,0.353398052,TRUE,3,18,,,,,FALSE
149,G5,ISG15 IFN,ACTIN,UNKNOWN,FAM,NFQ-MGB,Amp,24.74608665,24.75784244,0.983196834,0.016625202,TRUE,0.353398052,TRUE,3,19,,,,,FALSE
150,G6,,,,,,,,,,,,,,,,,,,,
151,G7,ISG15 DDC,ACTIN,UNKNOWN,FAM,NFQ-MGB,Amp,25.12025994,25.06998214,0.970064432,0.071103539,TRUE,0.353398052,TRUE,3,19,,,,,FALSE
152,G8,ISG15 DDC,ACTIN,UNKNOWN,FAM,NFQ-MGB,Amp,25.01970435,25.06998214,0.978386233,0.071103539,TRUE,0.353398052,TRUE,3,19,,,,,FALSE
153,G9,,,,,,,,,,,,,,,,,,,,
154,G10,ISG15 ++,ACTIN,UNKNOWN,FAM,NFQ-MGB,Amp,24.95988932,25.08211981,0.98512341,0.172860025,TRUE,0.353398052,TRUE,3,18,,,,,FALSE
155,G11,ISG15 ++,ACTIN,UNKNOWN,FAM,NFQ-MGB,Amp,25.20435031,25.08211981,0.974431154,0.172860025,TRUE,0.353398052,TRUE,3,19,,,,,FALSE
156,G12,,,,,,,,,,,,,,,,,,,,
