# File Name: /Volumes/USB DISK/qPCR/Exp16_6.7.24_u4cs_20240607_170611.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block serial number: 2778323082972
# Run Start Date/Time: 2024-06-07 05:05:12 PM EDT
# Run End Data/Time: 2024-06-07 06:39:43 PM EDT
# Run Duration: 94 minutes 30 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-06-10 09:51:37 AM EDT
# Software Name and Version: Design & Analysis Software v2.8.0
# Plugin Name and Version: Primary Analysis v1.8.1, Relative Quantification v1.7.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-06-10 09:52:04 AM EDT
"Sample","Target","EqCq Mean","Adjusted EqCq Mean","Delta EqCq Mean","Delta EqCq SD","Delta EqCq SE","Delta Delta EqCq","Rq","Rq Min","Rq Max","Omit"
"pTRIP JAK1 N11S 2","B-ACTIN","12.50611970402237","","12.50611970402237","0.4751314614075478","0.13715863857205401","-0.26011347436036125","1.1975728953316205","0.8588765191003424","1.6698335648240086","FALSE"
"pTRIP JAK1 N11S 2","IFI27","30.959719857482945","","30.959719857482945","0.04720895368943517","0.027256102120755972","0.02721950061745204","0.9813097499120379","0.7519809335804106","1.2805761187154547","FALSE"
"pTRIP JAK1 N11S 2","JAK1","16.683886384373572","","16.683886384373572","0.023584981916779785","0.013616795658485266","-1.2042322832843233","2.304146237364525","2.0172426112409334","2.631854916000977","FALSE"
"pTRIP JAK1 N11S 2","MX1","27.759913842747853","","27.759913842747853","0.07291098942692249","0.04209517937251566","-0.526190931759281","1.4401218971230878","0.9546937763336747","2.172373100134818","FALSE"
"pTRIP JAK1 N11S 2","RSAD2","33.50128114972449","","33.50128114972449","0.3468986706659888","0.20028204089053198","-0.8865819794802761","1.848790791952463","0.261484772115892","13.071611645871755","FALSE"
"pTRIP JAK1 N11S 3","B-ACTIN","12.902911023014324","","12.902911023014324","0.3737472858841241","0.10789154805704554","0.13667784463159371","0.9096113463251229","0.7003107017761191","1.181465311418174","FALSE"
"pTRIP JAK1 N11S 3","IFI27","31.376387046653374","","31.376387046653374","0.14392831378894788","0.08309705071005799","0.44388668978788104","0.7351514051993364","0.32654529675133237","1.6550463103993664","FALSE"
"pTRIP JAK1 N11S 3","JAK1","17.048205692636632","","17.048205692636632","0.027545436585699662","0.015903365227699466","-0.8399129750212637","1.7899421672855558","1.5324603112849453","2.090685767607577","FALSE"
"pTRIP JAK1 N11S 3","MX1","28.354654173618396","","28.354654173618396","0.03513811431674675","0.020286999759589582","0.06854939911126223","0.9535963381334455","0.782209033315705","1.162535763933703","FALSE"
"pTRIP JAK1 N11S 3","RSAD2","34.95184162723108","","34.95184162723108","0.39276558834911","0.22676331816178041","0.5639784980263158","0.6764341970472227","0.07387051224229","6.194125491294094","FALSE"
"pTRIP JAK1 S153T 1","B-ACTIN","12.76623317838273","","12.76623317838273","0.650014624766832","0.18764305929316205","0.0","1.0","0.6345846895855779","1.5758337955696036","FALSE"
"pTRIP JAK1 S153T 1","IFI27","30.932500356865493","","30.932500356865493","0.21255732963668061","0.12272003148396558","0.0","1.0","0.30165923916632587","3.314998747472906","FALSE"
"pTRIP JAK1 S153T 1","JAK1","17.888118667657896","","17.888118667657896","0.06120801200329171","0.03533846220666232","0.0","1.0","0.7081440344773505","1.4121420944230014","FALSE"
