# File Name: /Volumes/USB DISK/qPCR/Exp16_6.7.24_u4cs_20240607_170611.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block serial number: 2778323082972
# Run Start Date/Time: 2024-06-07 05:05:12 PM EDT
# Run End Data/Time: 2024-06-07 06:39:43 PM EDT
# Run Duration: 94 minutes 30 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-06-10 09:51:37 AM EDT
# Software Name and Version: Design & Analysis Software v2.8.0
# Plugin Name and Version: Primary Analysis v1.8.1, Relative Quantification v1.7.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-06-10 09:52:04 AM EDT
"Well","Well Position","Stage Number","Step Number","Cycle Number","VIC","TAMRA","FAM","ROX"
"4","A4","2","2","36","2103232.8","620432.25","4318168.0","450878.06"
"4","A4","2","2","37","2114773.5","618835.44","4337714.0","450127.97"
"4","A4","2","2","38","2124694.2","618103.8","4349889.5","449686.66"
"4","A4","2","2","39","2131531.0","618214.44","4366507.0","450543.1"
"4","A4","2","2","40","2136196.8","619151.06","4377996.0","452124.9"
"5","A5","2","2","1","690676.56","402960.12","326497.97","247508.77"
"5","A5","2","2","2","690841.25","402378.8","325895.25","247614.55"
"5","A5","2","2","3","694310.56","403226.03","325760.0","249227.48"
"5","A5","2","2","4","704487.3","409374.4","327406.3","252696.67"
"5","A5","2","2","5","722152.0","419100.72","333195.62","259508.44"
"5","A5","2","2","6","748227.94","432598.53","342955.7","267443.16"
"5","A5","2","2","7","776983.2","449408.6","355920.84","276522.2"
"5","A5","2","2","8","808874.0","468149.8","368887.2","288251.44"
"5","A5","2","2","9","844723.2","487587.3","383598.6","300910.84"
"5","A5","2","2","10","885263.94","507565.47","401032.3","314799.34"
"5","A5","2","2","11","930021.94","528653.6","421846.62","327619.22"
