# File Name: /Volumes/USB DISK/qPCR/Exp9_4.2.2024_u4cs_20240402_122421.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block serial number: 2778323082972
# Run Start Date/Time: 2024-04-02 12:24:47 PM EDT
# Run End Data/Time: 2024-04-02 01:57:50 PM EDT
# Run Duration: 93 minutes 3 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-04-02 04:54:27 PM EDT
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Relative Quantification v1.6.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-04-02 04:55:30 PM EDT
"Sample","Target","EqCq Mean","Adjusted EqCq Mean","Delta EqCq Mean","Delta EqCq SD","Delta EqCq SE","Delta Delta EqCq","Rq","Rq Min","Rq Max","Omit"
"pTRIP JAK1 S703I  2","RSAD2","29.45079551163505","","29.45079551163505","0.8752885594836687","0.5053480854364959","-2.8515743834925757","7.217876124694936","0.05189363179446879","1003.933121462394","FALSE"
"pTRIP JAK1 WT 1","GAPDH","16.726861269402036","","16.726861269402036","0.150458518564339","0.050152839521446335","0.12428675437497105","0.9174575075930752","0.8030165078263868","1.0482079384859675","FALSE"
"pTRIP JAK1 WT 1","IFI27","31.896458755532283","","31.896458755532283","0.2165502637393667","0.12502535306300783","1.1100420428890843","0.4632805298689421","0.13664171069023623","1.5707418201328485","FALSE"
"pTRIP JAK1 WT 1","JAK1","21.15972045546875","","21.15972045546875","0.07393907596873663","0.042688745414182286","3.2895894343546495","0.10226685652843114","0.06740347646617391","0.1551627674494693","FALSE"
"pTRIP JAK1 WT 1","RSAD2","36.280845191776415","","36.280845191776415","0.1135182769047264","0.06553980772888628","3.9784752966487886","0.06343947769149759","0.03344956486930539","0.12031747933029527","FALSE"
"pTRIP JAK1 WT 2","GAPDH","16.58710825538152","","16.58710825538152","0.5418364963186674","0.1806121654395558","-0.015466259645545932","1.0107780635887922","0.6255802019452741","1.6331595703562316","FALSE"
"pTRIP JAK1 WT 2","IFI27","32.05572936634553","","32.05572936634553","0.09735804300972623","0.0562096923394406","1.2693126537023325","0.4148573772224256","0.2396077261331716","0.7182850328466235","FALSE"
"pTRIP JAK1 WT 2","JAK1","20.231371098017256","","20.231371098017256","0.08499841057309986","0.04907385522506954","2.3612400769031545","0.1946237829937124","0.12052096684704439","0.31428902287894794","FALSE"
"pTRIP JAK1 WT 2","RSAD2","35.274863076109575","","35.274863076109575","2.461555135172708","1.4211795199170687","2.9724931809819495","0.12740614951871918","1.195768440583387E-7","135748.07951334506","FALSE"
"pTRIP JAK1 WT 3","GAPDH","16.45492760385966","","16.45492760385966","0.16242890692618475","0.05414296897539492","-0.14764691116740636","1.1077611984083733","0.9593591869798954","1.2791193218905104","FALSE"
"pTRIP JAK1 WT 3","IFI27","31.512057599557515","","31.512057599557515","0.3147031872480601","0.18169396987250072","0.7256408869143165","0.6047283470891264","0.10255460516213967","3.5658698426558026","FALSE"
"pTRIP JAK1 WT 3","JAK1","21.08254722202892","","21.08254722202892","0.7917396339284568","0.4571110907766903","3.21241620091482","0.10788631637134534","0.0012423815546279628","9.368665541451568","FALSE"
"pTRIP JAK1 WT 3","RSAD2","37.06179568217003","","37.06179568217003","0.059411166961962","0.0420100390370095","4.759425787042403","0.03692071270962664","9.060007705038035E-4","1.5045671829051313","FALSE"
"pTRIP Luciferase 1","GAPDH","16.602574515027065","","16.602574515027065","0.13343063206787864","0.044476877355959545","0.0","1.0","0.888560267207407","1.1254160656348378","FALSE"
"pTRIP Luciferase 1","IFI27","30.7864167126432","","30.7864167126432","0.16346790038332065","0.09437823629017311","0.0","1.0","0.39785112045401866","2.513503038168707","FALSE"
"pTRIP Luciferase 1","JAK1","17.8701310211141","","17.8701310211141","0.21628228207386554","0.12487063377629284","0.0","1.0","0.29538976365927005","3.3853576630823694","FALSE"
"pTRIP Luciferase 1","RSAD2","32.302369895127626","","32.302369895127626","0.49378745470102325","0.28508831989409594","0.0","1.0","0.06178400413638219","16.185419089908727","FALSE"
"pTRIP Luciferase 2","GAPDH","16.771861060094583","","16.771861060094583","0.048854115883672285","0.016284705294557427","0.16928654506751784","0.8892823485984412","0.8516319719834896","0.9285972363002022","FALSE"
"pTRIP Luciferase 2","IFI27","32.85540300465577","","32.85540300465577","0.23152371431621174","0.13367027878424687","2.0689862920125712","0.23832690081075486","0.0646021876644309","0.879222727643518","FALSE"
"pTRIP Luciferase 2","JAK1","19.891484090576004","","19.891484090576004","0.055594548652189886","0.03209752762981758","2.0213530694619024","0.2463270434615309","0.1800442394822767","0.33701168398932246","FALSE"
"pTRIP Luciferase 2","RSAD2","37.010591266038055","","37.010591266038055","0.43741933959627416","0.25254417346465724","4.7082213709104295","0.038254641919561544","0.003247784963696893","0.45058944626927944","FALSE"
"pTRIP Luciferase 3","GAPDH","16.562055087569846","","16.562055087569846","0.17784697244908926","0.05928232414969642","-0.04051942745721959","1.0284840550710859","0.8786246087153948","1.2039037389153089","FALSE"
"pTRIP Luciferase 3","IFI27","32.37132302267462","","32.37132302267462","0.10742898998215517","0.0620241562849669","1.5849063100314247","0.3333463163922202","0.18190188769890533","0.6108774793816","FALSE"
"pTRIP Luciferase 3","JAK1","20.26986802694721","","20.26986802694721","0.04200092536312755","0.024249245564615073","2.39973700583311","0.18949911215309279","0.1495411281393275","0.2401340283681234","FALSE"
"pTRIP Luciferase 3","RSAD2","37.931169056810575","","37.931169056810575","1.8635477585474194","1.3177272571338712","5.628799161682949","0.02020982778542016","6.314175619198538E-53","6.468574264460762E48","FALSE"
