gene_id,logFC,pvalue,fdr,significant,comparison
ELL2,0.01697023356221609,0.8099888306713109,0.9631490306030451,FALSE,WT_vs_severe
CYP20A1,0.022894736506683607,0.8132814214410045,0.963429644700913,FALSE,WT_vs_severe
NDUFB3,0.12163989590340554,0.04216601583244241,0.5192752071650326,FALSE,WT_vs_severe
GTF3C3,-0.032978067454870696,0.7366917621784651,0.9465867779491045,FALSE,WT_vs_severe
SATB2,-0.024535561518420984,0.834144235133424,0.9685582682311078,FALSE,WT_vs_severe
UBE2B,-0.012486023759547908,0.8654398859189439,0.9736968809116278,FALSE,WT_vs_severe
KLF9,0.1444583780501261,0.044178760085318215,0.5247735042922715,FALSE,WT_vs_severe
TJP2,-0.015161198975752839,0.6740818576781352,0.9356893425450101,FALSE,WT_vs_severe
ITGB1BP1,-0.026416683713571178,0.6521262291037848,0.9294653272230331,FALSE,WT_vs_severe
CPSF3,0.0016548092771030449,0.9741423226478286,0.9934988944691611,FALSE,WT_vs_severe
PIGZ,-0.02191623588939652,0.8595362493921284,0.9725813889158147,FALSE,WT_vs_severe
SENP5,0.10069944885735137,0.16488478197437376,0.6996817959451013,FALSE,WT_vs_severe
CCDC92,0.27711369800854774,0.08484099806057105,0.5975344498270726,FALSE,WT_vs_severe
C1orf198,-0.03863067690055166,0.32992383577891815,0.8171440420734998,FALSE,WT_vs_severe
HEATR1,0.014502824229076462,0.7663538011081852,0.953441309489985,FALSE,WT_vs_severe
PTBP3,0.04447039570013252,0.4480440338527385,0.867387152530456,FALSE,WT_vs_severe
RAD23B,0.05859401827986338,0.10209802942569478,0.6232527493998842,FALSE,WT_vs_severe
FKBP15,-0.039888885443770256,0.6916116307771082,0.9378046948516993,FALSE,WT_vs_severe
CTNNAL1,0.0028939991622447484,0.9616211765579064,0.9922679080739657,FALSE,WT_vs_severe
ABITRAM,0.05059874219875445,0.549528159133412,0.896884485651124,FALSE,WT_vs_severe
DYNC2I2,0.01818279768999835,0.6919747987187888,0.9378046948516993,FALSE,WT_vs_severe
SET,0.054001690795503564,0.3615142218610997,0.8373714079482648,FALSE,WT_vs_severe
PTPA,-0.0049550109585044435,0.8899492498227548,0.9778983744728025,FALSE,WT_vs_severe
GLE1,0.031134886225492764,0.44575660023272,0.8665154717462774,FALSE,WT_vs_severe
RAB14,-0.0015934685954233948,0.97180590275966106,0.9928384621056423,FALSE,WT_vs_severe
CNTRL,-0.014236771871285926,0.8374990690039479,0.9685582682311078,FALSE,WT_vs_severe
TRIM32,0.09751301664585574,0.07441916315762731,0.5782524947397822,FALSE,WT_vs_severe
FBXW2,0.017154456664032706,0.6892616140344001,0.9378046948516993,FALSE,WT_vs_severe
PHF19,-0.045728452371039126,0.4484845333099873,0.867387152530456,FALSE,WT_vs_severe
NEK6,0.03632315266129639,0.5313291245547898,0.8913122458340202,FALSE,WT_vs_severe
PPP6C,0.07330976684023344,0.18534645469831995,0.7201293865293075,FALSE,WT_vs_severe
NDUFA8,0.08545199465750221,0.03752689534386349,0.49809560645645223,FALSE,WT_vs_severe
HDHD3,-0.03614285704507093,0.5196669582901365,0.88578114362998,FALSE,WT_vs_severe
RBM18,0.19495357456967027,0.024565669799995873,0.4378254025903885,FALSE,WT_vs_severe
HSDL2,0.023071220111344975,0.7547606069819904,0.9507963247126505,FALSE,WT_vs_severe
MAPKAP1,0.06692258530966341,0.23075255399070183,0.7588704767446642,FALSE,WT_vs_severe
INVS,-0.049888346065729186,0.5695279454153017,0.9062754940544201,FALSE,WT_vs_severe
DENND1A,0.04441674213374223,0.30186556332755343,0.8037333390888427,FALSE,WT_vs_severe
ALG2,-0.011352105765809448,0.8778759610879292,0.975466570792758,FALSE,WT_vs_severe
KDSR,-0.10244150637077121,0.19556456391708332,0.7256372416373051,FALSE,WT_vs_severe
VPS4B,-0.015638866846787933,0.7992571404625965,0.9622128068469477,FALSE,WT_vs_severe
ONECUT2,-0.5489109237811608,0.0048511914015161185,0.32777061000413144,FALSE,WT_vs_severe
C19orf25,0.011167463868512091,0.8353090423962908,0.9685582682311078,FALSE,WT_vs_severe
ZBTB45,-0.09443966949885521,0.273614507246364,0.789739181871314,FALSE,WT_vs_severe
YLPM1,-0.0764953066846374,0.2417027902332255,0.7657991837278124,FALSE,WT_vs_severe
DCAF4,-0.21143309718677375,0.024127070148412543,0.4378254025903885,FALSE,WT_vs_severe
FCF1,0.08088062764331849,0.3274041867404057,0.8155657586894451,FALSE,WT_vs_severe
PGF,0.13040582745550783,0.022913470678205098,0.4373254778557736,FALSE,WT_vs_severe
IFI27L2,-0.048402903617144555,0.43488638203605834,0.8627747582563408,FALSE,WT_vs_severe
NEK9,-0.15549447544259892,0.04372731076923097,0.5246958191243831,FALSE,WT_vs_severe
ACYP1,0.10172336531294168,0.20394341375095493,0.7332211048574698,FALSE,WT_vs_severe
IFT43,0.05401020407009389,0.44288864156766805,0.8664022297042581,FALSE,WT_vs_severe
NPC2,-0.019946039581105243,0.6868814179222218,0.9377866179398284,FALSE,WT_vs_severe
DNAL1,0.2127831526180782,0.10260083599181773,0.6235966342201915,FALSE,WT_vs_severe
IRF2BPL,0.10163700557720017,0.05414912625505464,0.5422499290503037,FALSE,WT_vs_severe
LTBP2,-0.164251676215899,0.003462552147714171,0.3111422664380686,FALSE,WT_vs_severe
AREL1,-0.0204107355283749,0.6726848205387621,0.9356893425450101,FALSE,WT_vs_severe
MLH3,-0.01622130093742062,0.8825041898768964,0.9765079297037639,FALSE,WT_vs_severe
TTLL5,0.11211987122257347,0.08698599891006165,0.5982446017103302,FALSE,WT_vs_severe
ABCD4,0.003983765329664166,0.9535279043986802,0.9917743893317013,FALSE,WT_vs_severe
DLST,-0.012270592544750563,0.7574750073368952,0.9516040880624598,FALSE,WT_vs_severe
PPP4R4,0.10457608452151075,0.7392548149003141,0.9478662304484674,FALSE,WT_vs_severe
TGFB3,-0.7505170612055911,0.003188809424947311,0.3026585072455944,FALSE,WT_vs_severe
SLIRP,0.03282279180432482,0.5736462003959284,0.907558527653778,FALSE,WT_vs_severe
RBM25,-0.017469066807139565,0.659798083550736,0.9316598104484992,FALSE,WT_vs_severe
ALDH6A1,0.009773155239782252,0.923573766908808,0.9869670888601927,FALSE,WT_vs_severe
EIF2B2,-0.0177714124337037,0.7065916613763055,0.9397913503350612,FALSE,WT_vs_severe
NRDE2,-0.11675702079582757,0.11573952584678161,0.6501310425559705,FALSE,WT_vs_severe
COQ6,0.20967364518493958,0.11869338431669954,0.6544072509343098,FALSE,WT_vs_severe
ZNF410,-0.005673734555201432,0.9280626921369486,0.9877245654099225,FALSE,WT_vs_severe
RHOQ,0.07131368029513745,0.21369724338013557,0.7415231766497217,FALSE,WT_vs_severe
GPR75,-0.4118706461946478,0.059087741045486177,0.5548728901154465,FALSE,WT_vs_severe
SUPT7L,0.06604688962459651,0.1379013999118745,0.6781161923134649,FALSE,WT_vs_severe
KLHL29,0.004887207828484912,0.9311667563015067,0.9878305201844341,FALSE,WT_vs_severe
DNMT3A,-0.11467042154140183,0.17999329203795852,0.7164152575157601,FALSE,WT_vs_severe
TMEM214,-0.09535511201797217,0.11812830743268361,0.6544072509343098,FALSE,WT_vs_severe
ATAD2B,0.12782420535708225,0.3725665075272344,0.8414816065322365,FALSE,WT_vs_severe
FKBP1B,0.13393346034309778,0.08794929183114623,0.5982446017103302,FALSE,WT_vs_severe
ATL2,0.11140728726327767,0.01557962426247341,0.4194213209884474,FALSE,WT_vs_severe
YPEL5,0.00953021365179726,0.8642380206823201,0.9733148668551294,FALSE,WT_vs_severe
FAM98A,0.009773645543350777,0.8891238430255556,0.9772109216747191,FALSE,WT_vs_severe
YIPF4,0.3160565247400795,0.012160454401144506,0.4007757333383977,FALSE,WT_vs_severe
AFTPH,-0.009249819907621875,0.8605045604318221,0.9725813889158147,FALSE,WT_vs_severe
LGALSL,0.07364294412010358,0.521735836065754,0.88578114362998,FALSE,WT_vs_severe
CNRIP1,-0.07268069518271422,0.2055721764561687,0.7345197664294358,FALSE,WT_vs_severe
CRIPT,-0.05176187784416443,0.5406070433012202,0.8927632686517619,FALSE,WT_vs_severe
SLC17A5,-0.03453447803673376,0.5324130173332658,0.8915065252537897,FALSE,WT_vs_severe
OGFRL1,0.013910117834258415,0.8844620775047618,0.9768453994162769,FALSE,WT_vs_severe
SLF2,-0.03936906329443638,0.7367205627304654,0.9465867779491045,FALSE,WT_vs_severe
IDE,0.3371950100023414,0.0750782836120157,0.5791443296173038,FALSE,WT_vs_severe
