"gene_id","hgnc_symbol","logFC","pvalue","fdr","significant","experiment","comparison"
"14803","PHLDA2",-0.0235863031559007,0.815075232274325,0.941378430002629,FALSE,"Exp21","WT_vs_mild"
"14806","ZNF875",-0.0944731174583805,0.434322450183482,0.766603892408616,FALSE,"Exp21","WT_vs_mild"
"14807","PLAG1",-0.15083262271562,0.421703846159115,0.756058693194866,FALSE,"Exp21","WT_vs_mild"
"14810","YIPF6",-0.0585565911339971,0.635481096429426,0.869049870339381,FALSE,"Exp21","WT_vs_mild"
"14812","ZBTB20",0.171428690286296,0.770066149645404,0.930318323427556,FALSE,"Exp21","WT_vs_mild"
"14814","DIPK2A",0.168045424670469,0.319705845092796,0.693643360207683,FALSE,"Exp21","WT_vs_mild"
"14815","MACIR",0.167393558411326,0.171919219814051,0.594980228682432,FALSE,"Exp21","WT_vs_mild"
"14817","AMIGO1",-0.16105338911243,0.120556384771263,0.550472132063886,FALSE,"Exp21","WT_vs_mild"
"14820","GPR3",-0.0414765894516302,0.691874690692914,0.894500478486114,FALSE,"Exp21","WT_vs_mild"
"14825","SIAH2",0.0655923286219056,0.567930342492698,0.833908245026779,FALSE,"Exp21","WT_vs_mild"
"14826","COPG1",-0.135432574350774,0.122130896274487,0.55186654408164,FALSE,"Exp21","WT_vs_mild"
"14827","ADGRB1",-0.111946814255154,0.561870372528577,0.831204485416386,FALSE,"Exp21","WT_vs_mild"
"14830","LSM10",-0.222719504606687,0.0225693108231483,0.466008057579888,FALSE,"Exp21","WT_vs_mild"
"14832","RELL1",-0.0173557193471706,0.927547961502539,0.979767201416222,FALSE,"Exp21","WT_vs_mild"
"14833","RFX7",-0.419083530771235,0.0448926011570385,0.475464691827374,FALSE,"Exp21","WT_vs_mild"
"14834","SLC35C1",-0.0312656916847446,0.739046227627889,0.917652936336923,FALSE,"Exp21","WT_vs_mild"
"14837","RNF41",-0.222019725913408,0.0263024085357685,0.466008057579888,FALSE,"Exp21","WT_vs_mild"
"14840","IBA57",-0.29378514922285,0.0725945413779607,0.509631211785164,FALSE,"Exp21","WT_vs_mild"
"14842","ZNF329",-0.23588962299616,0.303267814709543,0.68447505460342,FALSE,"Exp21","WT_vs_mild"
"14843","ZNF101",-0.354815897303004,0.0480178158426647,0.478645129720182,FALSE,"Exp21","WT_vs_mild"
"14845","C5orf24",0.0674561665655294,0.541182958664256,0.821036694848748,FALSE,"Exp21","WT_vs_mild"
"14846","ADO",0.0691348741763356,0.508304221186886,0.80680351399696,FALSE,"Exp21","WT_vs_mild"
"14847","COA4",-0.0432914514537638,0.533811947227241,0.818404470285598,FALSE,"Exp21","WT_vs_mild"
"14848","PRKAG1",0.0225246148984424,0.798071607609312,0.935899046056897,FALSE,"Exp21","WT_vs_mild"
"14849","GINS3",0.0772614311879926,0.416656978325663,0.754663135921334,FALSE,"Exp21","WT_vs_mild"
"14857","CCDC149",0.28150069622986,0.211767759361917,0.6242474273664,FALSE,"Exp21","WT_vs_mild"
"14859","MRPS11",-0.146980462976654,0.0683310840160535,0.504123581810418,FALSE,"Exp21","WT_vs_mild"
"14863","SNRPE",-0.204385385400318,0.0468607466304432,0.478070569731992,FALSE,"Exp21","WT_vs_mild"
"14864","RTKN2",0.292625622904079,0.045692505267935,0.475464691827374,FALSE,"Exp21","WT_vs_mild"
"14872","IDH2",-0.245408880453171,0.0417203341306378,0.471650818476999,FALSE,"Exp21","WT_vs_mild"
"14873","OR52A1",0.0210843713254003,0.848558915434401,0.952760591353989,FALSE,"Exp21","WT_vs_mild"
"14875","TMEM259",-0.115589708035382,0.136582019268086,0.563041836755273,FALSE,"Exp21","WT_vs_mild"
