"gene_id","hgnc_symbol","logFC","pvalue","coefficients.1","coefficients.2","fdr","significant","experiment","comparison"
"2551","CEP192",-4.831665e-02,6.307582e-01, 4.816199e+00,-4.831665e-02,8.733425e-01,FALSE,"25","WT_vs_mild"
"2552","RNMT",-2.261123e-01,3.802332e-02, 7.245342e+00,-2.261123e-01,4.688675e-01,FALSE,"25","WT_vs_mild"
"2553","SMAD7",-1.344459e-01,4.614620e-01, 4.600096e+00,-1.344459e-01,8.009488e-01,FALSE,"25","WT_vs_mild"
"2554","LIPG",-4.413416e-02,7.499946e-01, 4.203656e+00,-4.413416e-02,9.190681e-01,FALSE,"25","WT_vs_mild"
"2555","LAMA1",-1.510487e-02,9.153984e-01, 5.440115e+00,-1.510487e-02,9.773927e-01,FALSE,"25","WT_vs_mild"
"2556","RNF125", 1.473867e-01,3.981527e-01, 2.031495e+00, 1.473867e-01,7.712192e-01,FALSE,"25","WT_vs_mild"
"2557","ANKRD12", 2.880810e-02,8.612935e-01, 5.566576e+00, 2.880810e-02,9.587261e-01,FALSE,"25","WT_vs_mild"
"2559","POLI", 5.386762e-02,6.848573e-01, 3.895740e+00, 5.386762e-02,8.925922e-01,FALSE,"25","WT_vs_mild"
"2560","MIB1",-2.173807e-02,8.357315e-01, 7.840843e+00,-2.173807e-02,9.491551e-01,FALSE,"25","WT_vs_mild"
"2561","RBBP8",-1.470891e-01,8.993495e-02, 5.521859e+00,-1.470891e-01,5.172369e-01,FALSE,"25","WT_vs_mild"
"2562","RIOK3",-6.124334e-02,4.537340e-01, 6.000931e+00,-6.124334e-02,7.986814e-01,FALSE,"25","WT_vs_mild"
"2563","CSTF2", 1.447820e-01,8.176129e-02, 4.850358e+00, 1.447820e-01,5.097122e-01,FALSE,"25","WT_vs_mild"
"2567","PSMD10",-2.353484e-01,1.863361e-02, 6.325245e+00,-2.353484e-01,4.458067e-01,FALSE,"25","WT_vs_mild"
"2568","ATG4A",-4.215556e-02,5.678971e-01, 4.374448e+00,-4.215556e-02,8.503841e-01,FALSE,"25","WT_vs_mild"
"2570","TBL1X",-9.322801e-02,7.962396e-01, 3.858814e+00,-9.322801e-02,9.349804e-01,FALSE,"25","WT_vs_mild"
"2572","PGRMC1",-9.913096e-02,1.159723e-01, 6.699932e+00,-9.913096e-02,5.427870e-01,FALSE,"25","WT_vs_mild"
"2573","POLA1", 4.145308e-02,5.622759e-01, 4.697756e+00, 4.145308e-02,8.489442e-01,FALSE,"25","WT_vs_mild"
"2574","MID1",-1.499582e-01,2.681697e-01, 4.622066e+00,-1.499582e-01,6.826397e-01,FALSE,"25","WT_vs_mild"
"2575","NKAP", 1.470645e-01,3.117779e-01, 2.731375e+00, 1.470645e-01,7.172214e-01,FALSE,"25","WT_vs_mild"
"2577","NXT2",-1.112200e-01,2.402718e-01, 6.160404e+00,-1.112200e-01,6.576815e-01,FALSE,"25","WT_vs_mild"
"2581","ALG13",-1.778358e-01,1.954132e-01, 3.795455e+00,-1.778358e-01,6.188637e-01,FALSE,"25","WT_vs_mild"
"2582","PRPS2", 3.439793e-02,6.117458e-01, 5.985861e+00, 3.439793e-02,8.672200e-01,FALSE,"25","WT_vs_mild"
"2584","MOSPD1",-1.002439e-01,4.677415e-01, 4.375786e+00,-1.002439e-01,8.033965e-01,FALSE,"25","WT_vs_mild"
"2585","AMMECR1", 9.111199e-02,5.631095e-01, 3.794041e+00, 9.111199e-02,8.489442e-01,FALSE,"25","WT_vs_mild"
"2586","CHRDL1", 5.731972e-02,7.991902e-01, 2.006732e+00, 5.731972e-02,9.363687e-01,FALSE,"25","WT_vs_mild"
"2587","WDR13", 1.259684e-01,1.617022e-01, 5.760115e+00, 1.259684e-01,5.868882e-01,FALSE,"25","WT_vs_mild"
"2588","SUV39H1",-3.466052e-02,8.583918e-01, 3.795901e+00,-3.466052e-02,9.573354e-01,FALSE,"25","WT_vs_mild"
"2590","SRPX", 3.338037e-02,7.036760e-01, 6.112707e+00, 3.338037e-02,9.021507e-01,FALSE,"25","WT_vs_mild"
"2592","XIAP", 2.088395e-01,1.509456e-01, 5.606529e+00, 2.088395e-01,5.752583e-01,FALSE,"25","WT_vs_mild"
"2593","STAG2",-1.066092e-01,2.537997e-01, 7.497671e+00,-1.066092e-01,6.709631e-01,FALSE,"25","WT_vs_mild"
"2594","ATP11C", 1.517568e-02,8.695394e-01, 5.896709e+00, 1.517568e-02,9.610741e-01,FALSE,"25","WT_vs_mild"
"2597","ABCD1", 2.875314e-01,4.278512e-02, 4.570929e+00, 2.875314e-01,4.688675e-01,FALSE,"25","WT_vs_mild"
"2598","CCDC22", 2.993384e-02,7.129568e-01, 4.307814e+00, 2.993384e-02,9.046438e-01,FALSE,"25","WT_vs_mild"
"2600","SYP", 1.546723e-01,6.625887e-01, 1.826764e+00, 1.546723e-01,8.841086e-01,FALSE,"25","WT_vs_mild"
"2601","PLP2", 1.001717e-01,1.553836e-01, 7.380985e+00, 1.001717e-01,5.798752e-01,FALSE,"25","WT_vs_mild"
"2604","PLS3",-7.186905e-02,4.117625e-01, 7.165191e+00,-7.186905e-02,7.775815e-01,FALSE,"25","WT_vs_mild"
"2605","NAA10",-5.333235e-02,5.185615e-01, 6.166648e+00,-5.333235e-02,8.273347e-01,FALSE,"25","WT_vs_mild"
"2607","ELF4",-2.334463e-02,7.237325e-01, 5.929987e+00,-2.334463e-02,9.093835e-01,FALSE,"25","WT_vs_mild"
"2608","SMARCA1", 2.007525e-02,8.107278e-01, 7.070804e+00, 2.007525e-02,9.391685e-01,FALSE,"25","WT_vs_mild"
"2609","MTMR8",-1.005493e-01,7.956204e-01, 1.675590e+00,-1.005493e-01,9.348422e-01,FALSE,"25","WT_vs_mild"
"2612","RBBP7",-6.837260e-02,2.763181e-01, 7.963324e+00,-6.837260e-02,6.897858e-01,FALSE,"25","WT_vs_mild"
"2614","KCND1", 8.815892e-02,4.258703e-01, 4.482522e+00, 8.815892e-02,7.855884e-01,FALSE,"25","WT_vs_mild"
"2616","SLC25A14",-4.347906e-02,5.855371e-01, 2.675424e+00,-4.347906e-02,8.559063e-01,FALSE,"25","WT_vs_mild"
"2617","FMR1",-2.671088e-01,5.682007e-02, 5.057144e+00,-2.671088e-01,4.912936e-01,FALSE,"25","WT_vs_mild"
"2619","SCML2",-2.444842e-01,4.821833e-02, 3.978277e+00,-2.444842e-01,4.723381e-01,FALSE,"25","WT_vs_mild"
"2620","SLC35A2", 9.955559e-03,8.875018e-01, 5.583365e+00, 9.955559e-03,9.673963e-01,FALSE,"25","WT_vs_mild"
"2621","PQBP1",-1.338037e-01,1.378956e-01, 5.671783e+00,-1.338037e-01,5.622327e-01,FALSE,"25","WT_vs_mild"
"2624","EMD", 1.255328e-02,8.640256e-01, 6.175144e+00, 1.255328e-02,9.594811e-01,FALSE,"25","WT_vs_mild"
"2625","TAFAZZIN",-5.610138e-02,5.966433e-01, 4.336460e+00,-5.610138e-02,8.612214e-01,FALSE,"25","WT_vs_mild"
